EHI_plaintext	sample_code	individual	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C	diet
EHI02701	AIR07	AIR07	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.04	-2.16	70.08	27414876	935211	0.01784144	3845131675	135887208	0.049180021	17.62595273	0.863726391	Wild
EHI02721	AIR09	AIR09	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.13	-2.22	72.81	30661456	25232036	0.033163441792360526	756482730	3677630914	0.067871364	15.70329819	0.902930468	Wild
EHI02710	AIR10	AIR10	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.13	-2.22	67.97	30618920	35252	0.024803044352515458	4414270362	4863423	0.061685648	17.72672303	0.890194775	Wild
EHI02712	AIR14	AIR14	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.15	-2.32	72.4	34005776	28735944	0.030639143	725585707	4162982418	0.070983983	16.63565193	0.787198466	Wild
EHI02699	AIR15	AIR15	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.15	-2.32	64.65	29507898	54840	0.020035149735081803	4236960273	7940738	0.060171668	18.02700378	0.852969333	Wild
EHI02700	AIR16	AIR16	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.18	-2.18	79.58	34595742	26075956	0.023014456082483536	1177534761	3815365599	0.06000157	16.50378036	0.891682561	Wild
EHI02724	AIR17	AIR17	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.18	-2.18	62.89	33435666	840696	0.026535527732135855	4675472377	121469083	0.068927955	18.0478811	0.897696021	Wild
EHI02720	AIR18	AIR18	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.15	-2.14	83.21	27863840	21237320	0.032462016	926896600	3089773324	0.070173453	16.0246458	0.892504902	Wild
EHI02714	AIR19	AIR19	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.15	-2.14	63.38	28731052	1133731	0.021344335	4014667591	166057029	0.050623038	17.10768646	0.918616791	Wild
EHI02749	AIR24	AIR24	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Male	recIUTmSxiyqoU5lQ	43.14	-2.13	85.31	38246314	28881834	0.034659639	1326233779	4177705067	0.0738673	16.18640828	0.952238204	Wild
EHI02719	AIR28	AIR28	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.04	-2.18	76.39	33200476	18059830	0.025812031	2171254560	2607725990	0.065148874	16.00848591	0.890074633	Wild
EHI02708	AIR29	AIR29	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.04	-2.18	61.95	37765322	1687464	0.023167329841545237	5222836498	247517459	0.056697135619430794	18.33885153	0.864810669	Wild
EHI02707	AIR89	AIR89	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43	-2.17	61.56	26035480	1343448	0.025620816113131495	3597193982	197419011	0.053242751	18.28570582	0.846341846	Wild
EHI02729	AIR90	AIR90	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43	-2.17	77.29	28164106	13995446	0.033781962	2043794615	2024187975	0.069605794	15.44605239	0.962325673	Wild
EHI02728	AIR92	AIR92	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Male	recIUTmSxiyqoU5lQ	43.09	-1.98	67.91	34364848	7063551	0.024822706507084735	3931658655	1043367740	0.058818714	17.54437778	0.870572811	Wild
EHI02715	AIR99	AIR99	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Male	recIUTmSxiyqoU5lQ	43.01	-2.49	78.62	30639982	21080472	0.031650448	1360678230	3050470506	0.070596951	15.91011063	0.887948791	Wild
EHI02705	AIS02	AIS02	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Male	recIUTmSxiyqoU5lQ	43.01	-2.49	68.53	29000560	913051	0.017534635470041304	4060474682	134644975	0.052533293	17.77636405	0.886386454	Wild
EHI02718	AIS11	AIS11	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Male	recIUTmSxiyqoU5lQ	43.14	-2.13	62.83	23791934	10990109	0.027012103410840815	1833336624	1622070570	0.057924595	18.01178644	0.830328441	Wild
EHI02722	AIS12	AIS12	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.1	-2.01	78.32	27488604	19461276	0.029654612	1139820855	2799929187	0.072847719	16.5823949	0.820732563	Wild
EHI02723	AJF60	AJF60	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.04	-2.16	63.07	29900040	769935	0.019611546350539966	4188436673	113227422	0.059688703	18.36050472	0.868118319	Wild
EHI02751	AJF96	AJF96	Lepus europaeus	Gipuzkoa	Colon contents	Lagomorpha	Female	recIUTmSxiyqoU5lQ	43.11	-1.97	60.9	43363694	25466692	0.027644780462419583	2557011232	3712236730	0.062820313	17.98464001	0.823013814	Wild
EHI01861	AIQ49	SD04201	Lepus europaeus	Nafarroa	Faecal	Lagomorpha	Unknown	recIUTmSxiyqoU5lQ	42.9	-2.16	69.39	29105712	80842	0.035884492	4234895895	11886522	0.062179779211190334	19.06545866	0.793637469	Pre_grass
EHI01969	AIQ50	SD04202	Lepus europaeus	Nafarroa	Faecal	Lagomorpha	Unknown	recIUTmSxiyqoU5lQ	42.9	-2.16	65.01	22759862	175869	0.043047161	3296915018	26139904	0.068533649	18.08644253	0.857449889	Pre_grass
